21:45:42 第三轮精细化回测：34 只待降档
  001382 新亚电缆: step 0.1 → 0.02
  603908 牧高笛: step 0.1 → 0.02
  605011 杭州热电: step 0.1 → 0.02
  600072 中船科技: step 0.1 → 0.02
  002893 京能热力: step 0.1 → 0.02
  300675 建科院: step 0.1 → 0.02
  300549 优德精密: step 0.1 → 0.02
  603600 永艺股份: step 0.1 → 0.02
  301106 骏成科技: step 0.1 → 0.02
  300424 航新科技: step 0.1 → 0.02
  301131 聚赛龙: step 0.2 → 0.05
  688212 澳华内镜: step 0.2 → 0.05
  300565 科信技术: step 0.1 → 0.02
  600985 淮北矿业: step 0.1 → 0.02
  001256 炜冈科技: step 0.1 → 0.02
  301041 金百泽: step 0.1 → 0.02
  300319 麦捷科技: step 0.1 → 0.02
  301516 中远通: step 0.1 → 0.02
  300541 先进数通: step 0.1 → 0.02
  603888 新华网: step 0.1 → 0.02
  603194 中力股份: step 0.5 → 0.05
  301567 贝隆精密: step 0.2 → 0.05
  300707 威唐工业: step 0.1 → 0.02
  301622 英思特: step 0.5 → 0.05
  002355 兴民智通: step 0.05 → 0.02
  003029 吉大正元: step 0.2 → 0.05
  300540 蜀道装备: step 0.2 → 0.05
  600975 新五丰: step 0.05 → 0.02
  000025 特力Ａ: step 0.1 → 0.02
  603551 奥普科技: step 0.1 → 0.02
  601949 中国出版: step 0.05 → 0.02
  002462 嘉事堂: step 0.1 → 0.02
  300388 节能国祯: step 0.05 → 0.02
  002609 捷顺科技: step 0.05 → 0.02
  进度: 500/373680 (0.1%), 步长=0.02, 当前最优: B=19.73 S=19.75 ret=0.00% score=0.00
  进度: 500/142311 (0.4%), 步长=0.02, 当前最优: B=17.89 S=17.91 ret=0.00% score=0.00
  进度: 500/358281 (0.1%), 步长=0.02, 当前最优: B=17.50 S=17.52 ret=0.00% score=0.00
  进度: 500/33153 (1.5%), 步长=0.02, 当前最优: B=10.83 S=15.69 ret=44.58% score=20.51
  进度: 1000/373680 (0.3%), 步长=0.02, 当前最优: B=19.75 S=22.47 ret=27.09% score=14.09
  进度: 1500/373680 (0.4%), 步长=0.02, 当前最优: B=19.75 S=23.81 ret=40.63% score=21.13
  进度: 1000/142311 (0.7%), 步长=0.02, 当前最优: B=17.91 S=27.25 ret=51.84% score=23.85
  进度: 1000/33153 (3.0%), 步长=0.02, 当前最优: B=10.83 S=15.93 ret=46.80% score=21.53
  进度: 1000/358281 (0.3%), 步长=0.02, 当前最优: B=17.52 S=20.60 ret=17.34% score=7.98
  进度: 2000/373680 (0.5%), 步长=0.02, 当前最优: B=19.75 S=23.81 ret=40.63% score=21.13
  进度: 1500/142311 (1.1%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 1500/33153 (4.5%), 步长=0.02, 当前最优: B=10.83 S=15.93 ret=46.80% score=21.53
  进度: 1500/358281 (0.4%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 2500/373680 (0.7%), 步长=0.02, 当前最优: B=19.75 S=23.81 ret=40.63% score=21.13
  进度: 3000/373680 (0.8%), 步长=0.02, 当前最优: B=19.79 S=23.81 ret=60.22% score=34.93
  进度: 2000/142311 (1.4%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 2000/358281 (0.6%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 2000/33153 (6.0%), 步长=0.02, 当前最优: B=10.83 S=15.93 ret=46.80% score=21.53
  进度: 3500/373680 (0.9%), 步长=0.02, 当前最优: B=19.79 S=23.81 ret=60.22% score=34.93
  进度: 2500/142311 (1.8%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 4000/373680 (1.1%), 步长=0.02, 当前最优: B=19.79 S=23.81 ret=60.22% score=34.93
  进度: 2500/358281 (0.7%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 2500/33153 (7.5%), 步长=0.02, 当前最优: B=10.83 S=15.93 ret=46.80% score=21.53
  进度: 4500/373680 (1.2%), 步长=0.02, 当前最优: B=19.79 S=23.81 ret=60.22% score=34.93
  进度: 3000/142311 (2.1%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 3000/358281 (0.8%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 5000/373680 (1.3%), 步长=0.02, 当前最优: B=19.79 S=23.81 ret=60.22% score=34.93
  进度: 3000/33153 (9.0%), 步长=0.02, 当前最优: B=10.83 S=15.93 ret=46.80% score=21.53
  进度: 5500/373680 (1.5%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 3500/142311 (2.5%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 3500/358281 (1.0%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 3500/33153 (10.6%), 步长=0.02, 当前最优: B=10.83 S=15.93 ret=46.80% score=21.53
  进度: 6000/373680 (1.6%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 4000/142311 (2.8%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 6500/373680 (1.7%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 4000/358281 (1.1%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 4000/33153 (12.1%), 步长=0.02, 当前最优: B=10.83 S=15.93 ret=46.80% score=21.53
