
############################################################
# 601952
############################################################
  进度: 500/17766 (2.8%), 步长=0.02, 当前最优: B=8.75 S=12.47 收益率=84.46%
  进度: 1000/17766 (5.6%), 步长=0.02, 当前最优: B=8.75 S=12.47 收益率=84.46%
  进度: 1500/17766 (8.4%), 步长=0.02, 当前最优: B=8.75 S=12.47 收益率=84.46%
  进度: 2000/17766 (11.3%), 步长=0.02, 当前最优: B=8.75 S=12.47 收益率=84.46%
  进度: 2500/17766 (14.1%), 步长=0.02, 当前最优: B=8.99 S=11.67 收益率=118.20%
  进度: 3000/17766 (16.9%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 3500/17766 (19.7%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 4000/17766 (22.5%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 4500/17766 (25.3%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 5000/17766 (28.1%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 5500/17766 (31.0%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 6000/17766 (33.8%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 6500/17766 (36.6%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 7000/17766 (39.4%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 7500/17766 (42.2%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 8000/17766 (45.0%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
  进度: 8500/17766 (47.8%), 步长=0.02, 当前最优: B=9.01 S=11.19 收益率=143.67%
